timeOpen,Date,timeHigh,timeLow,name,open,high,low,Close,volume,marketCap,timestamp
2/28/25 10:00,2025-03-31T23:59:59.999Z,3/13/25 3:00,2/28/25 13:18,2781,2859.8413240000,3162.0318700000,2846.9309990000,3147.9853460000,1446339612.64,683320181.06,2025-03-31T23:59:59.999Z
1/31/25 10:00,2025-02-28T23:59:59.999Z,2/10/25 11:19,2/1/25 9:06,2781,2803.7768490000,2995.6418370000,2775.8264140000,2859.8418650000,1067330183.2,598163427.63,2025-02-28T23:59:59.999Z
12/31/24 10:00,2025-01-31T23:59:59.999Z,1/13/25 3:40,12/31/24 18:58,2781,2627.8029770000,2818.287813000,2622.1656220000,2803.6503260000,652144597.85,567405567.9,2025-01-31T23:59:59.999Z
11/30/24 10:00,2024-12-31T23:59:59.999Z,12/5/24 8:37,12/7/24 15:58,2781,2639.064768000,2711.0729970000,2599.9658750000,2627.8029770000,577084851.64,524396310.6,2024-12-31T23:59:59.999Z
10/31/24 10:00,2024-11-30T23:59:59.999Z,10/31/24 13:43,11/5/24 21:22,2781,2750.8981880000,2764.9599440000,2549.6362470000,2639.064768000,528554966.13,522454715.01,2024-11-30T23:59:59.999Z
9/30/24 10:00,2024-10-31T23:59:59.999Z,10/12/24 15:38,10/4/24 4:21,2781,2635.9316860000,2785.5365250000,2615.8758240000,2750.8981880000,346079086.63,541279023.93,2024-10-31T23:59:59.999Z
8/31/24 10:00,2024-09-30T23:59:59.999Z,9/10/24 21:54,9/2/24 1:07,2781,2496.4095330000,2675.6520380000,2476.3526220000,2635.9316860000,237190062.48,504840761.43,2024-09-30T23:59:59.999Z
7/31/24 10:00,2024-08-31T23:59:59.999Z,8/11/24 4:25,8/2/24 4:34,2781,2430.6157820000,2524.2009760000,2343.4445010000,2496.4095330000,346064348.45,471110623.93,2024-08-31T23:59:59.999Z
6/30/24 10:00,2024-07-31T23:59:59.999Z,7/7/24 4:18,6/30/24 10:48,2781,2308.6760570000,2462.8741420000,2306.9324860000,2430.6025660000,245819823.87,454695853.33,2024-07-31T23:59:59.999Z
5/31/24 10:00,2024-06-30T23:59:59.999Z,6/3/24 3:24,6/11/24 12:06,2781,2330.9317320000,2368.3183900000,2288.7289790000,2308.7834940000,172739550.36,429093334.48,2024-06-30T23:59:59.999Z
4/30/24 10:00,2024-05-31T23:59:59.999Z,5/8/24 10:36,5/2/24 4:16,2781,2299.8058230000,2425.5879280000,2275.6051370000,2330.9317320000,283334025.76,429476931.48,2024-05-31T23:59:59.999Z
3/31/24 10:00,2024-04-30T23:59:59.999Z,4/5/24 10:50,3/31/24 15:15,2781,2220.925647000,3097.8984790000,2213.7000580000,2299.8058230000,563055196.75,423743160.21,2024-04-30T23:59:59.999Z
2/29/24 10:00,2024-03-31T23:59:59.999Z,3/12/24 13:41,2/29/24 10:00,2781,1996.333316000,2221.4251090000,1996.333316000,2220.9312420000,384896812.13,408310197.67,2024-03-31T23:59:59.999Z
1/31/24 10:00,2024-02-29T23:59:59.999Z,1/31/24 17:32,2/6/24 12:36,2781,2018.7346470000,2042.2624040000,1975.9956530000,1995.5349770000,211915822.11,397914481.63,2024-02-29T23:59:59.999Z
12/31/23 10:00,2024-01-31T23:59:59.999Z,1/1/24 2:55,1/4/24 21:45,2781,2026.7023670000,2047.1374250000,1991.5938490000,2019.1053920000,206232874.33,419404610.52,2024-01-31T23:59:59.999Z
11/30/23 10:00,2023-12-31T23:59:59.999Z,12/1/23 9:58,12/5/23 17:01,2781,2021.5870680000,2086.1228320000,1954.8131710000,2026.4564300000,229434735.8,438586731.08,2023-12-31T23:59:59.999Z
10/31/23 10:00,2023-11-30T23:59:59.999Z,11/12/23 5:53,11/4/23 14:41,2781,1969.3820070000,2029.7731210000,1914.0314830000,2021.5324930000,220099692.63,467840012.28,2023-11-30T23:59:59.999Z
9/30/23 10:00,2023-10-31T23:59:59.999Z,10/11/23 17:21,10/1/23 17:42,2781,1869.9539000000,1992.2713420000,1824.6966250000,1969.420736000,232106186.9,480088176.32,2023-10-31T23:59:59.999Z
8/31/23 10:00,2023-09-30T23:59:59.999Z,9/8/23 15:24,9/12/23 10:11,2781,1918.4257980000,1933.6235460000,1865.639393000,1870.1084450000,116102503.32,463634368.41,2023-09-30T23:59:59.999Z
7/31/23 10:00,2023-08-31T23:59:59.999Z,7/31/23 10:56,8/7/23 3:54,2781,1954.6233420000,1955.1469150000,1871.061045000,1918.4211270000,168437288.64,477945208.64,2023-08-31T23:59:59.999Z
6/30/23 10:00,2023-07-31T23:59:59.999Z,7/11/23 8:10,7/2/23 17:03,2781,1902.0849570000,1962.6742660000,1887.2015820000,1954.4085360000,209283037.3,485364384.64,2023-07-31T23:59:59.999Z
5/31/23 10:00,2023-06-30T23:59:59.999Z,5/31/23 17:19,6/12/23 6:08,2781,1970.0489600000,1987.2422150000,1886.7586200000,1901.8287280000,266087354.12,483478950.95,2023-06-30T23:59:59.999Z
4/30/23 10:00,2023-05-31T23:59:59.999Z,5/2/23 4:05,5/12/23 19:45,2781,2000.9428160000,2052.3907720000,1950.0862410000,1969.7386840000,267867080.29,518970100.11,2023-05-31T23:59:59.999Z
3/31/23 10:00,2023-04-30T23:59:59.999Z,4/5/23 14:30,4/1/23 14:06,2781,1978.233240000,2050.5960320000,1969.1425190000,2000.9384410000,348063231.68,542781984.89,2023-04-30T23:59:59.999Z
2/28/23 10:00,2023-03-31T23:59:59.999Z,3/8/23 15:45,3/3/23 17:17,2781,1809.0998820000,2014.6546380000,1801.1007150000,1978.3169120000,564165063.22,536645585,2023-03-31T23:59:59.999Z
1/31/23 10:00,2023-02-28T23:59:59.999Z,1/31/23 22:39,2/5/23 19:36,2781,1899.4546360000,1924.1384150000,1757.7421700000,1808.8713340000,339661224.62,490681148.85,2023-02-28T23:59:59.999Z
12/31/22 10:00,2023-01-31T23:59:59.999Z,1/10/23 20:46,12/31/22 14:08,2781,1819.5971880000,1925.5905400000,1817.4446700000,1900.0236410000,319424612,515407461.83,2023-01-31T23:59:59.999Z
11/30/22 10:00,2022-12-31T23:59:59.999Z,12/13/22 3:15,11/30/22 10:07,2781,1763.0827210000,1824.4515770000,1762.6721010000,1819.5470630000,285393295.74,493577086.72,2022-12-31T23:59:59.999Z
10/31/22 10:00,2022-11-30T23:59:59.999Z,11/4/22 17:03,11/1/22 7:48,2781,1627.9162490000,1780.4449850000,1615.0128630000,1762.9130550000,754346920.66,573316039.72,2022-11-30T23:59:59.999Z
9/30/22 10:00,2022-10-31T23:59:59.999Z,10/1/22 17:51,10/8/22 20:26,2781,1655.9614410000,1720.7603270000,1613.7454770000,1627.891719000,246475814.74,529405820.94,2022-10-31T23:59:59.999Z
8/31/22 10:00,2022-09-30T23:59:59.999Z,9/5/22 6:29,9/11/22 23:39,2781,1704.902667000,1729.5274540000,1609.2299030000,1655.7317310000,420373742.94,538459656.79,2022-09-30T23:59:59.999Z
7/31/22 10:00,2022-08-31T23:59:59.999Z,8/5/22 21:31,8/13/22 0:31,2781,1762.6593950000,1798.5024210000,1702.828922000,1704.7831080000,493387336.93,568797467.62,2022-08-31T23:59:59.999Z
6/30/22 10:00,2022-07-31T23:59:59.999Z,7/2/22 7:21,7/8/22 19:29,2781,1814.8442900000,1816.2990760000,1682.0664960000,1762.634089000,647108732.86,598744176.63,2022-07-31T23:59:59.999Z
5/31/22 10:00,2022-06-30T23:59:59.999Z,6/5/22 7:54,6/5/22 21:24,2781,1838.195542000,1891.3162700000,1806.6113470000,1814.8082110000,971587776.65,605529963.89,2022-06-30T23:59:59.999Z
4/30/22 10:00,2022-05-31T23:59:59.999Z,4/30/22 15:13,5/7/22 0:00,2781,1901.2770010000,1907.5617730000,1794.3606490000,1838.105941000,900329619.5,613194592.11,2022-05-31T23:59:59.999Z
3/31/22 10:00,2022-04-30T23:59:59.999Z,4/7/22 12:06,4/11/22 21:45,2781,1934.5484480000,2000.2375280000,1882.8889090000,1901.5959740000,1255888337.45,620758151.69,2022-04-30T23:59:59.999Z
2/28/22 10:00,2022-03-31T23:59:59.999Z,3/3/22 15:11,2/28/22 12:31,2781,1896.4278620000,2071.9255850000,1891.5884730000,1934.3636360000,1579665663.67,616066653.87,2022-03-31T23:59:59.999Z
1/31/22 10:00,2022-02-28T23:59:59.999Z,2/10/22 3:13,2/1/22 11:01,2781,1806.3695080000,2067.6912050000,1799.4649380000,1896.8333920000,1216336846.3,525763661.32,2022-02-28T23:59:59.999Z
